original,after
"[367, 457, 1484.0]","[0.08496868475991648, 1.9925714285714289, -1.005]"
"[365, 454, 1475.0]","[0.07578288100208752, 1.9642857142857144, -0.9899999999999998]"
"[364, 453, 1459.0]","[0.07118997912317315, 1.9140000000000006, -0.9850000000000003]"
"[359, 449, 1458.0]","[0.04822546972860131, 1.910857142857143, -0.9649999999999999]"
"[355, 447, 1452.0]","[0.029853862212943616, 1.8920000000000003, -0.9550000000000001]"
"[350, 445, 1446.0]","[0.0068893528183715524, 1.8731428571428572, -0.9450000000000003]"
"[347, 444, 1438.0]","[-0.0068893528183715524, 1.8480000000000003, -0.94]"
"[346, 442, 1420.0]","[-0.011482254697286143, 1.7914285714285714, -0.9300000000000002]"
"[340, 439, 1421.0]","[-0.039039665970772575, 1.7945714285714285, -0.915]"
"[338, 437, 1422.0]","[-0.04822546972860131, 1.797714285714286, -0.9050000000000002]"
"[336, 436, 1427.0]","[-0.05741127348643005, 1.8134285714285716, -0.8999999999999999]"
"[333, 434, 1447.0]","[-0.07118997912317337, 1.8762857142857143, -0.8900000000000001]"
"[331, 430, 1464.0]","[-0.08037578288100211, 1.9297142857142862, -0.8700000000000001]"
"[329, 429, 1473.0]","[-0.08956158663883085, 1.9579999999999997, -0.865]"
"[329, 427, 1477.0]","[-0.08956158663883085, 1.9705714285714286, -0.8550000000000002]"
"[328, 423, 1487.0]","[-0.09415448851774522, 2.002, -0.835]"
"[328, 421, 1495.0]","[-0.09415448851774522, 2.0271428571428576, -0.8250000000000002]"
"[327, 417, 1524.0]","[-0.09874739039665958, 2.1182857142857143, -0.8050000000000002]"
"[326, 415, 1545.0]","[-0.10334029227557417, 2.1842857142857146, -0.7949999999999999]"
"[325, 412, 1576.0]","[-0.10793319415448854, 2.281714285714286, -0.78]"
"[324, 411, 1591.0]","[-0.11252609603340291, 2.3288571428571427, -0.7750000000000001]"
"[324, 409, 1595.0]","[-0.11252609603340291, 2.3414285714285716, -0.7650000000000001]"
"[324, 408, 1601.0]","[-0.11252609603340291, 2.3602857142857148, -0.76]"
"[323, 407, 1615.0]","[-0.11711899791231739, 2.4042857142857144, -0.7549999999999999]"
"[323, 405, 1628.0]","[-0.11711899791231739, 2.4451428571428573, -0.7450000000000001]"
"[324, 405, 1631.0]","[-0.11252609603340291, 2.4545714285714286, -0.7450000000000001]"
"[323, 402, 1655.0]","[-0.11711899791231739, 2.53, -0.73]"
"[323, 398, 1662.0]","[-0.11711899791231739, 2.552, -0.7100000000000002]"
"[323, 398, 1685.0]","[-0.11711899791231739, 2.6242857142857146, -0.7100000000000002]"
"[323, 394, 1703.0]","[-0.11711899791231739, 2.680857142857143, -0.69]"
"[323, 393, 1704.0]","[-0.11711899791231739, 2.684, -0.685]"
"[324, 391, 1721.0]","[-0.11252609603340291, 2.7374285714285715, -0.675]"
"[324, 388, 1742.0]","[-0.11252609603340291, 2.8034285714285714, -0.6600000000000001]"
"[325, 387, 1770.0]","[-0.10793319415448854, 2.8914285714285715, -0.655]"
"[324, 386, 1765.0]","[-0.11252609603340291, 2.875714285714286, -0.6499999999999999]"
"[334, 389, 1809.0]","[-0.06659707724425878, 3.0140000000000007, -0.665]"
"[326, 387, 1813.0]","[-0.10334029227557417, 3.026571428571429, -0.655]"
"[328, 386, 1828.0]","[-0.09415448851774522, 3.0737142857142863, -0.6499999999999999]"
"[338, 388, 1850.0]","[-0.04822546972860131, 3.142857142857143, -0.6600000000000001]"
"[330, 385, 1843.0]","[-0.08496868475991648, 3.1208571428571434, -0.645]"
"[331, 384, 1873.0]","[-0.08037578288100211, 3.2151428571428577, -0.6400000000000001]"
"[338, 386, 1879.0]","[-0.04822546972860131, 3.2340000000000004, -0.6499999999999999]"
"[331, 384, 1884.0]","[-0.08037578288100211, 3.2497142857142856, -0.6400000000000001]"
"[332, 384, 1906.0]","[-0.07578288100208774, 3.318857142857143, -0.6400000000000001]"
"[346, 387, 1975.0]","[-0.011482254697286143, 3.535714285714286, -0.655]"
"[331, 383, 1911.0]","[-0.08037578288100211, 3.334571428571429, -0.6350000000000002]"
"[331, 384, 1913.0]","[-0.08037578288100211, 3.340857142857143, -0.6400000000000001]"
"[344, 387, 2030.0]","[-0.02066805845511488, 3.7085714285714286, -0.655]"
"[331, 384, 1928.0]","[-0.08037578288100211, 3.3880000000000003, -0.6400000000000001]"
"[332, 385, 1957.0]","[-0.07578288100208774, 3.479142857142857, -0.645]"
"[332, 384, 1963.0]","[-0.07578288100208774, 3.4979999999999998, -0.6400000000000001]"
"[332, 384, 1959.0]","[-0.07578288100208774, 3.4854285714285713, -0.6400000000000001]"
"[342, 385, 2038.0]","[-0.029853862212943616, 3.7337142857142855, -0.645]"
"[333, 383, 1973.0]","[-0.07118997912317337, 3.529428571428571, -0.6350000000000002]"
"[334, 380, 1983.0]","[-0.06659707724425878, 3.560857142857144, -0.6200000000000001]"
"[335, 379, 2015.0]","[-0.062004175365344416, 3.6614285714285715, -0.615]"
"[336, 377, 1985.0]","[-0.05741127348643005, 3.567142857142857, -0.6050000000000002]"
"[337, 376, 1999.0]","[-0.05281837160751568, 3.6111428571428577, -0.6000000000000001]"
"[337, 374, 2017.0]","[-0.05281837160751568, 3.6677142857142866, -0.5900000000000001]"
