original,after
"[719, 643, 1036.0]","[1.7016701461377872, 0.5845714285714285, -1.9350000000000005]"
"[557, 120, 820.0]","[0.9576200417536533, -0.0942857142857143, 0.68]"
"[719, 643, 1030.0]","[1.7016701461377872, 0.5657142857142856, -1.9350000000000005]"
"[558, 122, 819.0]","[0.9622129436325677, -0.09742857142857142, 0.67]"
"[719, 644, 1031.0]","[1.7016701461377872, 0.568857142857143, -1.9400000000000004]"
"[558, 123, 824.0]","[0.9622129436325677, -0.08171428571428563, 0.665]"
"[719, 644, 1028.0]","[1.7016701461377872, 0.5594285714285716, -1.9400000000000004]"
"[719, 645, 1030.0]","[1.7016701461377872, 0.5657142857142856, -1.9449999999999998]"
"[561, 129, 817.0]","[0.9759916492693113, -0.10371428571428576, 0.635]"
"[719, 645, 1030.0]","[1.7016701461377872, 0.5657142857142856, -1.9449999999999998]"
"[561, 134, 812.0]","[0.9759916492693113, -0.11942857142857144, 0.6100000000000001]"
"[719, 645, 1027.0]","[1.7016701461377872, 0.5562857142857145, -1.9449999999999998]"
"[561, 136, 813.0]","[0.9759916492693113, -0.11628571428571433, 0.6000000000000001]"
"[719, 646, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.9500000000000002]"
"[560, 143, 816.0]","[0.9713987473903969, -0.10685714285714287, 0.5650000000000001]"
"[719, 646, 1022.0]","[1.7016701461377872, 0.5405714285714285, -1.9500000000000002]"
"[560, 149, 811.0]","[0.9713987473903969, -0.12257142857142855, 0.535]"
"[719, 646, 1028.0]","[1.7016701461377872, 0.5594285714285716, -1.9500000000000002]"
"[561, 153, 812.0]","[0.9759916492693113, -0.11942857142857144, 0.515]"
"[719, 647, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.955]"
"[563, 157, 813.0]","[0.98517745302714, -0.11628571428571433, 0.495]"
"[719, 645, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.9449999999999998]"
"[563, 161, 812.0]","[0.98517745302714, -0.11942857142857144, 0.475]"
"[719, 645, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.9449999999999998]"
"[564, 165, 813.0]","[0.9897703549060544, -0.11628571428571433, 0.45500000000000007]"
"[719, 645, 1021.0]","[1.7016701461377872, 0.5374285714285716, -1.9449999999999998]"
"[564, 168, 813.0]","[0.9897703549060544, -0.11628571428571433, 0.44000000000000006]"
"[719, 646, 1022.0]","[1.7016701461377872, 0.5405714285714285, -1.9500000000000002]"
"[563, 169, 808.0]","[0.98517745302714, -0.132, 0.43500000000000005]"
"[719, 646, 1022.0]","[1.7016701461377872, 0.5405714285714285, -1.9500000000000002]"
"[563, 170, 808.0]","[0.98517745302714, -0.132, 0.43000000000000005]"
"[719, 646, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.9500000000000002]"
"[563, 170, 811.0]","[0.98517745302714, -0.12257142857142855, 0.43000000000000005]"
"[719, 646, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.9500000000000002]"
"[563, 172, 811.0]","[0.98517745302714, -0.12257142857142855, 0.42000000000000004]"
"[719, 646, 1026.0]","[1.7016701461377872, 0.5531428571428572, -1.9500000000000002]"
"[563, 173, 808.0]","[0.98517745302714, -0.132, 0.41500000000000004]"
"[719, 646, 1023.0]","[1.7016701461377872, 0.5437142857142856, -1.9500000000000002]"
"[564, 173, 808.0]","[0.9897703549060544, -0.132, 0.41500000000000004]"
"[719, 644, 1027.0]","[1.7016701461377872, 0.5562857142857145, -1.9400000000000004]"
"[563, 174, 806.0]","[0.98517745302714, -0.13828571428571423, 0.41000000000000003]"
"[719, 645, 1026.0]","[1.7016701461377872, 0.5531428571428572, -1.9449999999999998]"
"[567, 177, 801.0]","[1.0035490605427975, -0.15400000000000003, 0.395]"
"[719, 646, 1040.0]","[1.7016701461377872, 0.5971428571428572, -1.9500000000000002]"
"[576, 181, 793.0]","[1.0448851774530272, -0.17914285714285716, 0.3750000000000001]"
"[719, 646, 1052.0]","[1.7016701461377872, 0.634857142857143, -1.9500000000000002]"
"[590, 183, 778.0]","[1.1091858037578288, -0.2262857142857143, 0.365]"
"[719, 646, 1067.0]","[1.7016701461377872, 0.6820000000000002, -1.9500000000000002]"
"[719, 642, 1081.0]","[1.7016701461377872, 0.726, -1.9300000000000002]"
"[719, 635, 1083.0]","[1.7016701461377872, 0.7322857142857144, -1.895]"
"[633, 193, 756.0]","[1.306680584551148, -0.2954285714285715, 0.31500000000000006]"
"[719, 633, 1067.0]","[1.7016701461377872, 0.6820000000000002, -1.8850000000000002]"
"[719, 633, 1067.0]","[1.7016701461377872, 0.6820000000000002, -1.8850000000000002]"
"[719, 635, 1045.0]","[1.7016701461377872, 0.612857142857143, -1.895]"
"[719, 636, 1030.0]","[1.7016701461377872, 0.5657142857142856, -1.9]"
"[719, 640, 1006.0]","[1.7016701461377872, 0.49028571428571444, -1.9200000000000004]"
"[719, 643, 990.0]","[1.7016701461377872, 0.43999999999999995, -1.9350000000000005]"
"[719, 647, 978.0]","[1.7016701461377872, 0.40228571428571436, -1.955]"
"[719, 653, 960.0]","[1.7016701461377872, 0.34571428571428564, -1.9850000000000003]"
"[626, 200, 6661.0]","[1.2745302713987474, 18.263142857142856, 0.28]"
"[719, 655, 923.0]","[1.7016701461377872, 0.22942857142857154, -1.995]"
"[719, 655, 894.0]","[1.7016701461377872, 0.13828571428571435, -1.995]"
"[719, 655, 886.0]","[1.7016701461377872, 0.11314285714285699, -1.995]"
"[587, 228, 6485.0]","[1.0954070981210857, 17.71, 0.14]"
"[719, 657, 867.0]","[1.7016701461377872, 0.05342857142857138, -2.0050000000000003]"
"[719, 657, 864.0]","[1.7016701461377872, 0.04400000000000004, -2.0050000000000003]"
"[719, 656, 860.0]","[1.7016701461377872, 0.03142857142857136, -2.0000000000000004]"
"[719, 655, 847.0]","[1.7016701461377872, -0.009428571428571342, -1.995]"
"[719, 656, 851.0]","[1.7016701461377872, 0.003142857142857114, -2.0000000000000004]"
"[719, 657, 852.0]","[1.7016701461377872, 0.00628571428571445, -2.0050000000000003]"
"[719, 656, 846.0]","[1.7016701461377872, -0.012571428571428678, -2.0000000000000004]"
"[719, 657, 843.0]","[1.7016701461377872, -0.02200000000000002, -2.0050000000000003]"
"[719, 659, 846.0]","[1.7016701461377872, -0.012571428571428678, -2.0150000000000006]"
"[719, 661, 850.0]","[1.7016701461377872, 0.0, -2.025]"
"[527, 268, 33304.0]","[0.8198329853862214, 101.99828571428573, -0.05999999999999983]"
"[719, 664, 850.0]","[1.7016701461377872, 0.0, -2.04]"
"[524, 269, 34473.0]","[0.8060542797494781, 105.67228571428572, -0.06499999999999995]"
"[513, 353, 2296.0]","[0.7555323590814198, 4.5445714285714285, -0.4850000000000001]"
"[514, 405, 1868.0]","[0.7601252609603342, 3.1994285714285717, -0.7450000000000001]"
"[503, 471, 65535.0]","[0.7096033402922757, 203.2957142857143, -1.0750000000000002]"
"[494, 497, 30230.0]","[0.6682672233820459, 92.33714285714287, -1.205]"
"[492, 532, 65535.0]","[0.6590814196242172, 203.2957142857143, -1.38]"
"[488, 522, 65535.0]","[0.6407098121085595, 203.2957142857143, -1.33]"
"[480, 492, 50384.0]","[0.6039665970772443, 155.67828571428572, -1.1800000000000002]"
"[480, 336, 2873.0]","[0.6039665970772443, 6.3580000000000005, -0.3999999999999999]"
"[512, 311, 716.0]","[0.7509394572025054, -0.42114285714285726, -0.2749999999999999]"
"[518, 312, 729.0]","[0.7784968684759916, -0.38028571428571434, -0.28]"
"[545, 368, 881.0]","[0.9025052192066809, 0.09742857142857142, -0.56]"
"[551, 373, 888.0]","[0.9300626304801671, 0.11942857142857144, -0.585]"
"[557, 377, 901.0]","[0.9576200417536533, 0.16028571428571436, -0.6050000000000002]"
"[568, 381, 909.0]","[1.0081419624217118, 0.1854285714285715, -0.625]"
"[572, 380, 908.0]","[1.0265135699373698, 0.18228571428571438, -0.6200000000000001]"
"[584, 383, 896.0]","[1.0816283924843422, 0.14457142857142857, -0.6350000000000002]"
"[589, 385, 896.0]","[1.1045929018789145, 0.14457142857142857, -0.645]"
"[597, 388, 892.0]","[1.1413361169102298, 0.13200000000000012, -0.6600000000000001]"
"[611, 393, 860.0]","[1.2056367432150314, 0.03142857142857136, -0.685]"
"[617, 396, 849.0]","[1.2331941544885177, -0.003142857142857114, -0.7000000000000002]"
"[628, 401, 823.0]","[1.2837160751565762, -0.08485714285714296, -0.7250000000000001]"
"[635, 404, 822.0]","[1.3158663883089772, -0.08799999999999986, -0.74]"
"[646, 400, 795.0]","[1.3663883089770352, -0.17285714285714282, -0.72]"
"[672, 348, 2827.0]","[1.4858037578288101, 6.213428571428572, -0.45999999999999996]"
"[719, 264, 3221.0]","[1.7016701461377872, 7.451714285714287, -0.040000000000000036]"
"[549, 264, 795.0]","[0.9208768267223384, -0.17285714285714282, -0.040000000000000036]"
"[535, 293, 790.0]","[0.8565762004175366, -0.1885714285714285, -0.18500000000000005]"
"[535, 300, 840.0]","[0.8565762004175366, -0.03142857142857136, -0.21999999999999997]"
"[534, 295, 820.0]","[0.8519832985386222, -0.0942857142857143, -0.19500000000000006]"
"[527, 276, 818.0]","[0.8198329853862214, -0.10057142857142853, -0.09999999999999987]"
"[533, 292, 882.0]","[0.8473903966597078, 0.10057142857142853, -0.17999999999999994]"
"[562, 466, 819.0]","[0.9805845511482256, -0.09742857142857142, -1.0500000000000003]"
"[560, 517, 854.0]","[0.9713987473903969, 0.012571428571428456, -1.3050000000000002]"
"[556, 551, 919.0]","[0.953027139874739, 0.21685714285714286, -1.475]"
"[558, 541, 884.0]","[0.9622129436325677, 0.10685714285714298, -1.4250000000000003]"
"[555, 557, 908.0]","[0.9484342379958246, 0.18228571428571438, -1.505]"
"[719, 651, 981.0]","[1.7016701461377872, 0.4117142857142857, -1.975]"
"[544, 572, 938.0]","[0.8979123173277661, 0.27657142857142847, -1.58]"
"[719, 648, 980.0]","[1.7016701461377872, 0.4085714285714286, -1.96]"
"[538, 577, 943.0]","[0.8703549060542797, 0.2922857142857145, -1.605]"
"[719, 638, 966.0]","[1.7016701461377872, 0.36457142857142855, -1.9100000000000001]"
"[531, 582, 962.0]","[0.8382045929018789, 0.3520000000000001, -1.6300000000000003]"
"[719, 628, 967.0]","[1.7016701461377872, 0.36771428571428566, -1.8600000000000003]"
"[524, 587, 989.0]","[0.8060542797494781, 0.43685714285714305, -1.6549999999999998]"
"[719, 620, 967.0]","[1.7016701461377872, 0.36771428571428566, -1.8200000000000003]"
"[517, 595, 1024.0]","[0.7739039665970773, 0.5468571428571429, -1.6950000000000003]"
"[719, 614, 959.0]","[1.7016701461377872, 0.3425714285714285, -1.7900000000000005]"
"[513, 597, 1041.0]","[0.7555323590814198, 0.6002857142857145, -1.705]"
"[719, 604, 956.0]","[1.7016701461377872, 0.3331428571428572, -1.7400000000000002]"
"[512, 594, 1084.0]","[0.7509394572025054, 0.7354285714285715, -1.69]"
"[719, 595, 951.0]","[1.7016701461377872, 0.3174285714285714, -1.6950000000000003]"
"[514, 585, 1114.0]","[0.7601252609603342, 0.8297142857142856, -1.6450000000000005]"
"[719, 586, 949.0]","[1.7016701461377872, 0.31114285714285717, -1.65]"
"[514, 577, 1129.0]","[0.7601252609603342, 0.876857142857143, -1.605]"
"[719, 560, 920.0]","[1.7016701461377872, 0.21999999999999997, -1.52]"
"[719, 570, 930.0]","[1.7016701461377872, 0.25142857142857156, -1.5700000000000003]"
"[682, 519, 1281.0]","[1.5317327766179543, 1.3545714285714285, -1.315]"
"[719, 588, 1079.0]","[1.7016701461377872, 0.7197142857142858, -1.6600000000000001]"
"[719, 601, 1085.0]","[1.7016701461377872, 0.7385714285714287, -1.7250000000000005]"
"[719, 617, 1107.0]","[1.7016701461377872, 0.8077142857142856, -1.8050000000000002]"
"[719, 633, 1116.0]","[1.7016701461377872, 0.8360000000000001, -1.8850000000000002]"
"[719, 644, 1137.0]","[1.7016701461377872, 0.9020000000000001, -1.9400000000000004]"
"[719, 661, 1167.0]","[1.7016701461377872, 0.9962857142857144, -2.025]"
"[527, 684, 1062.0]","[0.8198329853862214, 0.6662857142857144, -2.14]"
"[504, 672, 1055.0]","[0.71419624217119, 0.6442857142857144, -2.0800000000000005]"
"[719, 676, 1086.0]","[1.7016701461377872, 0.7417142857142858, -2.1]"
"[493, 670, 1048.0]","[0.6636743215031315, 0.6222857142857143, -2.0700000000000003]"
"[719, 656, 1066.0]","[1.7016701461377872, 0.678857142857143, -2.0000000000000004]"
"[475, 670, 998.0]","[0.5810020876826723, 0.4651428571428571, -2.0700000000000003]"
"[719, 620, 1033.0]","[1.7016701461377872, 0.5751428571428572, -1.8200000000000003]"
"[719, 607, 1015.0]","[1.7016701461377872, 0.5185714285714287, -1.755]"
"[719, 599, 1012.0]","[1.7016701461377872, 0.5091428571428571, -1.7150000000000003]"
"[719, 593, 1002.0]","[1.7016701461377872, 0.47771428571428576, -1.685]"
"[719, 592, 998.0]","[1.7016701461377872, 0.4651428571428571, -1.6800000000000002]"
"[719, 592, 995.0]","[1.7016701461377872, 0.45571428571428574, -1.6800000000000002]"
"[719, 592, 987.0]","[1.7016701461377872, 0.4305714285714286, -1.6800000000000002]"
"[719, 593, 983.0]","[1.7016701461377872, 0.4179999999999999, -1.685]"
"[719, 593, 977.0]","[1.7016701461377872, 0.399142857142857, -1.685]"
"[719, 594, 970.0]","[1.7016701461377872, 0.377142857142857, -1.69]"
"[719, 594, 962.0]","[1.7016701461377872, 0.3520000000000001, -1.69]"
"[719, 593, 959.0]","[1.7016701461377872, 0.3425714285714285, -1.685]"
"[719, 593, 952.0]","[1.7016701461377872, 0.3205714285714285, -1.685]"
"[719, 594, 944.0]","[1.7016701461377872, 0.2954285714285714, -1.69]"
"[719, 599, 943.0]","[1.7016701461377872, 0.2922857142857145, -1.7150000000000003]"
"[719, 618, 940.0]","[1.7016701461377872, 0.2828571428571429, -1.81]"
"[719, 637, 934.0]","[1.7016701461377872, 0.264, -1.9050000000000002]"
